epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,191877,1.22491,0.58145,0.92161,0.5552,0.56395,0.49663,0.17454,1.3412,8.51961,0.87672,0.000698014,0.000698014,0.000698014
151,193158,1.2368,0.58459,0.93852,0.55602,0.56307,0.4975,0.17494,1.34163,8.51942,0.87707,0.000694428,0.000694428,0.000694428
152,194439,1.24451,0.58509,0.93969,0.554,0.5634,0.49755,0.17539,1.34031,8.51328,0.87663,0.000690831,0.000690831,0.000690831
153,195721,1.21888,0.57868,0.92746,0.55382,0.56262,0.49675,0.17501,1.34085,8.50288,0.87734,0.000687222,0.000687222,0.000687222
154,197000,1.2261,0.56792,0.94056,0.55446,0.56229,0.49714,0.17503,1.3419,8.50132,0.87832,0.000683601,0.000683601,0.000683601
155,198278,1.22054,0.57183,0.93181,0.55607,0.5603,0.49663,0.17472,1.34267,8.50803,0.87926,0.00067997,0.00067997,0.00067997
156,199555,1.20905,0.56533,0.92811,0.55526,0.55961,0.49636,0.17472,1.34285,8.50353,0.87991,0.000676328,0.000676328,0.000676328
157,200834,1.22558,0.5624,0.94096,0.55707,0.55676,0.49557,0.17447,1.34401,8.54185,0.8809,0.000672675,0.000672675,0.000672675
158,202114,1.23428,0.5697,0.92938,0.56034,0.55447,0.49537,0.1739,1.3454,8.56362,0.88201,0.000669012,0.000669012,0.000669012
159,203392,1.22554,0.56786,0.93604,0.56027,0.55557,0.49555,0.17385,1.34748,8.53603,0.88361,0.000665339,0.000665339,0.000665339
160,204670,1.21347,0.56756,0.92457,0.56047,0.5561,0.49622,0.1738,1.34953,8.51779,0.88511,0.000661656,0.000661656,0.000661656
161,205949,1.2195,0.57476,0.93023,0.56484,0.55156,0.49578,0.17344,1.35205,8.50021,0.88691,0.000657963,0.000657963,0.000657963
162,207225,1.22513,0.58094,0.93618,0.56396,0.55266,0.49527,0.17285,1.35431,8.46263,0.88864,0.000654261,0.000654261,0.000654261
163,208503,1.23173,0.57154,0.93683,0.56469,0.55416,0.49571,0.17263,1.35622,8.46042,0.89011,0.00065055,0.00065055,0.00065055
164,209782,1.22159,0.57559,0.92997,0.5642,0.55532,0.49622,0.17247,1.3569,8.49945,0.89101,0.00064683,0.00064683,0.00064683
165,211061,1.21252,0.56713,0.93116,0.56652,0.55333,0.49652,0.17268,1.35824,8.49738,0.89191,0.000643101,0.000643101,0.000643101
166,212340,1.20383,0.55531,0.92476,0.56666,0.55267,0.49629,0.17272,1.35912,8.52067,0.89279,0.000639363,0.000639363,0.000639363
167,213619,1.21933,0.56674,0.93261,0.56954,0.55222,0.49712,0.17284,1.36117,8.54362,0.89399,0.000635617,0.000635617,0.000635617
168,214893,1.21753,0.56938,0.93096,0.57072,0.55134,0.49741,0.17313,1.36176,8.57945,0.89486,0.000631863,0.000631863,0.000631863
169,216173,1.21066,0.56987,0.93033,0.57179,0.55079,0.49837,0.17363,1.36163,8.55995,0.89535,0.000628101,0.000628101,0.000628101
170,217451,1.2085,0.5689,0.92746,0.57324,0.55197,0.49943,0.17379,1.36162,8.54231,0.8958,0.000624332,0.000624332,0.000624332
171,218727,1.20892,0.57035,0.93087,0.57371,0.55101,0.49977,0.17363,1.36194,8.5306,0.89654,0.000620555,0.000620555,0.000620555
172,220005,1.19625,0.56352,0.9278,0.57525,0.54968,0.49944,0.17377,1.36291,8.51516,0.89735,0.000616772,0.000616772,0.000616772
173,221283,1.18908,0.55411,0.92697,0.57733,0.54902,0.49929,0.17352,1.36346,8.54435,0.89819,0.000612981,0.000612981,0.000612981
174,222561,1.21799,0.55982,0.92615,0.57819,0.54846,0.49988,0.17379,1.36335,8.5332,0.89857,0.000609184,0.000609184,0.000609184
175,223836,1.19444,0.56096,0.92331,0.57914,0.54769,0.50079,0.17385,1.36509,8.56076,0.90022,0.00060538,0.00060538,0.00060538
176,225115,1.18993,0.548,0.9208,0.57827,0.54824,0.5008,0.17396,1.36572,8.55983,0.90105,0.00060157,0.00060157,0.00060157
177,226394,1.20473,0.57052,0.9292,0.57812,0.54813,0.50072,0.17367,1.36659,8.5424,0.90208,0.000597754,0.000597754,0.000597754
178,227671,1.1914,0.5572,0.92391,0.57696,0.54824,0.50137,0.17378,1.36743,8.53426,0.90332,0.000593932,0.000593932,0.000593932
179,228945,1.20429,0.56346,0.92504,0.57683,0.54883,0.50248,0.17381,1.36666,8.5282,0.904,0.000590105,0.000590105,0.000590105
180,230224,1.1941,0.55614,0.91888,0.57394,0.55112,0.50237,0.17379,1.36645,8.56428,0.90443,0.000586272,0.000586272,0.000586272
